UC_ID | Tier | Val_IT | Raw_Tools | Tools_Tags | Desc snippet
---|---|---|---|---|---
UC_0001 | Medium | True | Advance Coding | Advance Coding | 'Enables the user to instantly compose messages by translating from any spoken source language to an
UC_0002 | Medium | False | App Script (app) | App Script | 'Enables the user to instantly compose messages by translating from any spoken source language to an
UC_0003 | Small | False | App Script (app), Gemini (Prompts / Gems) | App Script, Gemini Prompts/Gems | 'Generate a "chat bot" limited to a set of specific folders. Use or link the chat bot in the F&P SWE
UC_0004 | Medium | True | Gemini (Prompts / Gems), Appsheet, App Script (app), Advance Coding | Advance Coding, App Script, AppSheet, Gemini Prompts/Gems | 'A Gemini assistant reading SalesForce data Dasbhoards for markets and generating summarized reports
UC_0005 | Medium | True | Gemini (Prompts / Gems), App Script (app), Web App/Internal Platform, Appsheet, Advance Coding | Advance Coding, App Script, AppSheet, Gemini Prompts/Gems, Web App/Platform | 'Generate automatized maps of the organized visits for SRs and BDs in order to optimize their routes
UC_0006 | Small | False | App Script (app) | App Script | 'A web app to monitor equipment: I did some coding in Python (using Streamlit and Pandas) and built 
UC_0007 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'An AI assistant to read our Power BI: I created a detailed prompt (a "Gem") that acts as an expert 
UC_0008 | Medium | True | Python on Power BI (Fabric) | Python on Fabric | ' A web app to monitor equipment: I did some coding in Python (using Streamlit and Pandas) and built
UC_0009 | Medium | True | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Predictive assistant for AVEVA Predictive alerts and technical notifications for SWE Cluster ASU/HY
UC_0010 | Medium | True | App Script (app) | App Script | 'Web app (link) to classified alarm generated from DCS Yokogawa system, from raw text file into clas
UC_0011 | Small | False | App Script (app), Gemini (Prompts / Gems) | App Script, Gemini Prompts/Gems | 'I created a web interface using code to implement a new way for our employees to manage consumable 
UC_0012 | Small | False | AI Studio (app), Gemini (Prompts / Gems) | AI Studio, Gemini Prompts/Gems | 'To build a chatbot for Level1 ALAIR Support ( in house application )'
UC_0013 | Small | False | Gemini (Prompts / Gems), AI Studio (app) | AI Studio, Gemini Prompts/Gems | 'Need Power BI reports for performance and KPIs /Metrics of the team'
UC_0014 | Small | False | nan |  | 'Calculating KPIs with Python'
UC_0015 | Medium | True | Gemini (Prompts / Gems), AI Studio (app), Python on Power BI (Fabric), Workspace Studio (ex Flows) | AI Studio, Gemini Prompts/Gems, Python on Fabric, Workspace Studio | 'A Browser Copilot: Development of a secure, Group-managed Chrome extension that allows employees to
UC_0016 | Medium | True | Power BI (app), Advance Coding, App Script (app), AI Studio (app), NotebookLM | AI Studio, Advance Coding, App Script, NotebookLM, Power BI | 'Set of Assistive Power BI tools, starting by context extractor of PBIP (Power BI Project), a new an
UC_0017 | Medium | False | Gemini (Prompts / Gems), NotebookLM, Python on Power BI (Fabric), App Script (app) | App Script, Gemini Prompts/Gems, NotebookLM, Python on Fabric | "This use case aims to build an AI-driven evaluation tool to automatically analyze and triage solici
UC_0018 | Medium | True | App Script (app), Gemini (Prompts / Gems) | App Script, Gemini Prompts/Gems | 'Creating a 1 Page Summary for Safety Event sharing from Incident Investigation report.\nFirst versi
UC_0019 | Small | False | AI Studio (app) | AI Studio | 'cAlibration Tool Maintenance'
UC_0020 | Medium | False | App Script (app) | App Script | 'Slide Translator'
UC_0021 | Small | False | AI Studio (app) | AI Studio | 'DPM Tool'
UC_0022 | Medium | True | App Script (app), Web App/Internal Platform | App Script, Web App/Platform | '[In progress] Internal navigation center:\nWe are currently facing the issue of having a large disp
UC_0023 | Medium | True | App Script (app), Advance Coding, Web App/Internal Platform | Advance Coding, App Script, Web App/Platform | '[Prod + Scale up] Centralized Contract creation Web App:\nProject Overview/business need:\nI am cur
UC_0024 | Small | False | App Script (app), Web App/Internal Platform, Advance Coding | Advance Coding, App Script, Web App/Platform | '[Not started] Invoice support for Customer service (details follow soon)'
UC_0025 | Medium | True | App Script (app), Workspace Studio (ex Flows), Web App/Internal Platform | App Script, Web App/Platform, Workspace Studio | '[Prod] First delivery notice tracking:\nProject Overview/business need:\nIn Germany the contract te
UC_0026 | Medium | True | App Script (app), Web App/Internal Platform, Gemini (Prompts / Gems) | App Script, Gemini Prompts/Gems, Web App/Platform | '[Prod + Scale up] Contract creation assistance for SAP:\nProject Overview/business need:\nThe contr
UC_0027 | Medium | False | Gemini (Prompts / Gems), App Script (app), AI Studio (app) | AI Studio, App Script, Gemini Prompts/Gems | 'Create a new type of account to be called department / entity accounts to host custom web-apps, App
UC_0028 | Medium | False | Gemini (Prompts / Gems), AI Studio (app), App Script (app) | AI Studio, App Script, Gemini Prompts/Gems | 'Project Overview: AI-Powered "Success Sharing & Replication" Platform\nan AI-driven platform design
UC_0029 | Medium | False | App Script (app) | App Script | '1）Design a prompt evaluation system that can quantitatively assess the performance of prompts and m
UC_0030 | Small | False | Gemini (Prompts / Gems) | Gemini Prompts/Gems | 'Operational Insight Synthesis : I utilized AI to distill complex OEM post-mortem and RCA reports in
UC_0031 | Small | False | App Script (app) | App Script | 'Create an App on G-Slide to automatically synchronize a daily indicator with a specific G-Sheet'
UC_0032 | Medium | True | Advance Coding, Gemini (Prompts / Gems) | Advance Coding, Gemini Prompts/Gems | 'Create a Web APP & API in Python for a Pilot on ITS (Intrumentation Trailer System) to follow the m
UC_0033 | Small | False | Gemini (Prompts / Gems), AI Studio (app), App Script (app) | AI Studio, App Script, Gemini Prompts/Gems | 'Create gemini based search over the E&C execution teams and product line lessons learnt databse(s),
UC_0034 | Small | False | Gemini (Prompts / Gems), Workspace Studio (ex Flows) | Gemini Prompts/Gems, Workspace Studio | 'Create helper tools for feeding E&C product lines capitalization databases, using various sources (
UC_0035 | Small | False | Workspace Studio (ex Flows), Gemini (Prompts / Gems), Appsheet | AppSheet, Gemini Prompts/Gems, Workspace Studio | 'Build uising the Workspace Studio and Forms/AppSheet + Gemini + AppScrip, the interface for reporti
UC_0036 | Medium | True | Gemini (Prompts / Gems), App Script (app) | App Script, Gemini Prompts/Gems | 'This pipeline transforms Google Sheets into a lightweight data lake by automating the ingestion of 
UC_0037 | Medium | True | Gemini (Prompts / Gems), App Script (app) | App Script, Gemini Prompts/Gems | 'This application automates the preparation of data for sending customer satisfaction surveys (Voice
UC_0038 | Medium | False | App Script (app), Gemini (Prompts / Gems) | App Script, Gemini Prompts/Gems | 'Multi-site Knowledge Base: Developed a centralized knowledge repository using Google Apps Script an
UC_0039 | Medium | True | App Script (app) | App Script | 'Automated Price Adjustment (Ecopass) Workflow: An end-to-end automation script that consolidates ma
UC_0040 | Small | False | App Script (app) | App Script | 'Gamified AI-Adoption Dashboard (Gem Tracker): An experimental UI/UX project designed as a "Retro Pi
UC_0041 | Small | False | App Script (app) | App Script | 'Automated Balanced Scorecard (BSC) Pipeline: A robust reporting tool that autonomously scans Gmail 
UC_0042 | Medium | False | NotebookLM, AI Studio (app), Gemini (Prompts / Gems) | AI Studio, Gemini Prompts/Gems, NotebookLM | 'Analyst – Data Intelligence & Scoping\n\nSpecific (E&C Proposals): Automating the extraction of Del
UC_0043 | Medium | False | AI Studio (app), NotebookLM, Gemini (Prompts / Gems) | AI Studio, Gemini Prompts/Gems, NotebookLM | 'Auditor – Automated Compliance & De-Risking\n\nSpecific (E&C Proposals): Performs automated "Triple
